"passenger_count","trip_distance","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
1,11.3,1,33.5,0,0.5,7.95,5.54,0.3,47.79
1,21.1,1,52,0,0.5,11.65,5.54,0.3,69.99
1,8.6,1,26.5,0,0.5,6.55,5.54,0.3,39.39
1,9.1,1,29,0,0.5,7.05,5.54,0.3,42.39
2,10.6,1,36,0,0.5,5,5.54,0.3,47.34
2,17.3,1,49.5,0.5,0.5,10,5.54,0.3,66.34
1,25.1,1,68,0.5,0.5,5,11.08,0.3,85.38
1,5.9,1,18.5,0.5,0.5,6.3,5.54,0.3,31.64
2,11.84,1,33,0.5,0.5,9.21,2.54,0.3,46.05
2,8.7,1,27.5,0.5,0.5,6.85,5.54,0.3,41.19
2,3.7,1,20,0.5,0.5,6,5.54,0.3,32.84
1,4.4,1,16,0.5,0.5,5.71,5.54,0.3,28.55
1,4.14,1,18,0.5,0.5,4.97,5.54,0.3,29.81
1,8.19,1,27.5,0.5,0.5,10.3,5.54,0.3,44.64
1,5,1,16.5,0.5,0.5,5.84,5.54,0.3,29.18
2,12.5,1,38.5,0,0.5,8.95,5.54,0.3,53.79
2,8.93,1,28.5,0.5,0.5,7.07,5.54,0.3,42.41
1,2.5,1,9,0.5,0.5,3.95,5.54,0.3,19.79
1,8.43,1,25.5,0,0.5,6.37,5.54,0.3,38.21
1,17.23,1,52,0,0.5,14.58,5.54,0.3,72.92
2,8.8,1,32,0,0.5,7.65,5.54,0.3,45.99
2,13.5,1,43,0.5,0.5,9.35,2.54,0.3,56.19
2,14.54,1,41,0.5,0.5,4,5.54,0.3,51.84
2,4.7,1,17,0.5,0.5,4,5.54,0.3,27.84
2,9.01,1,31.5,0.5,0.5,7.67,5.54,0.3,46.01
1,11.3,1,33,0.5,0.5,5,2.54,0.3,41.84
2,10.5,1,41.5,0.5,0.5,4,5.54,0.3,52.34
2,8.6,1,30,0.5,0.5,3,5.54,0.3,39.84
2,4.8,1,17,0.5,0.5,4,5.54,0.3,27.84
3,12.33,1,38,0.5,0.5,7,5.54,0.3,51.84
2,12.53,1,38,0.5,0.5,8.97,5.54,0.3,53.81
1,7.7,1,24,0.5,0.5,2,5.54,0.3,32.84
3,9.18,1,28,0.5,0.5,6.97,5.54,0.3,41.81
3,7.74,1,27.5,0.5,0.5,5,5.54,0.3,39.34
1,5.7,1,18,0.5,0.5,6.2,5.54,0.3,31.04
2,5.2,1,18,0.5,0.5,3,5.54,0.3,27.84
1,13.5,1,45,0.5,0.5,12.21,2.54,0.3,61.05
2,10.9,1,35,0.5,0.5,12.55,5.54,0.3,54.39
1,10.53,1,31,0.5,0.5,7.57,5.54,0.3,45.41
3,8.4,1,28,0.5,0.5,2,5.54,0.3,36.84
3,19.04,1,54,0.5,0.5,0.1,5.54,0.3,60.94
2,8.6,1,27,0.5,0.5,6.75,5.54,0.3,40.59
1,4,1,14.5,0.5,0.5,2,5.54,0.3,23.34
2,7.5,1,23.5,0.5,0.5,5,5.54,0.3,35.34
2,3.3,1,12,0.5,0.5,3.75,5.54,0.3,22.59
1,9.1,1,30.5,0.5,0.5,7.45,5.54,0.3,44.79
2,8.42,1,25,0.5,0.5,6.37,5.54,0.3,38.21
1,7.4,1,23.5,0.5,0.5,6.06,5.54,0.3,36.4
2,7.4,1,23.5,0.5,0.5,9.1,5.54,0.3,39.44
1,8.3,1,27,0.5,0.5,4.4,5.54,0.3,38.24
1,5.12,1,19.5,0.5,0.5,5.27,5.54,0.3,31.61
1,11.2,1,33.5,0,0.5,9.95,5.54,0.3,49.79
1,13.54,1,37.5,0.5,0.5,8.87,5.54,0.3,53.21
1,20.75,1,56,0.5,0.5,14.78,16.62,0.3,88.7
1,8.69,1,27.5,0.5,0.5,8.58,5.54,0.3,42.92
2,7.26,1,22,0.5,0.5,2,5.54,0.3,30.84
1,10.49,1,33,0.5,0.5,3,5.54,0.3,42.84
3,5.8,1,21,0.5,0.5,5.55,5.54,0.3,33.39
2,5.25,1,20,0.5,0.5,2,5.54,0.3,28.84
2,17.4,1,49.5,0.5,0.5,18,11.08,0.3,79.88
2,11.9,1,35,0.5,0.5,12.55,5.54,0.3,54.39
1,14.36,1,40.5,0.5,0.5,5,5.54,0.3,52.34
3,5.77,1,19.5,0.5,0.5,5.27,5.54,0.3,31.61
1,4.7,1,14,0.5,0.5,10,5.54,0.3,30.84
1,12.6,1,42,0.5,0.5,12.2,5.54,0.3,61.04
2,8.8,1,25.5,0.5,0.5,6.45,5.54,0.3,38.79
2,7.6,1,22.5,0.5,0.5,8.8,5.54,0.3,38.14
1,13.7,1,38.5,0,0.5,8.96,5.54,0.3,53.8
1,13.06,1,42.5,0,0.5,9.77,5.54,0.3,58.61
1,8.5,1,25,0.5,0.5,3,5.54,0.3,34.84
1,13.99,1,41,0.5,0.5,9.57,5.54,0.3,57.41
1,19.54,1,55,0.5,0.5,12.37,5.54,0.3,74.21
2,3.9,1,14,0.5,0.5,4.16,5.54,0.3,25
2,5.9,1,19,0.5,0.5,7.75,5.54,0.3,33.59
1,10.5,1,34.5,0.5,0.5,12.4,5.54,0.3,53.74
1,12,1,32.5,0.5,0.5,9.8,5.54,0.3,49.14
2,12.17,1,37,0.5,0.5,8.77,5.54,0.3,52.61
1,9.2,1,27,0.5,0.5,6.75,5.54,0.3,40.59
2,6.5,1,22,0.5,0.5,8.65,5.54,0.3,37.49
1,9.48,1,35,0,0.5,8.27,5.54,0.3,49.61
1,11.6,1,35.5,0.5,0.5,9.55,11.08,0.3,57.43
2,13.64,1,39,0.5,0.5,11.46,5.54,0.3,57.3
2,8,1,29.5,0.5,0.5,7.25,5.54,0.3,43.59
1,13.1,1,40.5,0.5,0.5,9.45,5.54,0.3,56.79
1,11.6,1,33,0.5,0.5,7.95,5.54,0.3,47.79
1,19.23,1,52,0,0.5,1,5.54,0.3,59.34
1,8.5,1,26.5,0,0.5,6,5.54,0.3,38.84
2,18.61,1,52,0,0.5,10,5.54,0.3,68.34
1,18.88,1,52,0,0.5,11.67,5.54,0.3,70.01
1,16.57,1,52,0,0.5,12.16,8,0.3,72.96
1,12,1,34,0,0.5,9.22,2.08,0.3,46.1
1,8.7,1,24.5,0,0.5,6.15,5.54,0.3,36.99
1,17.49,1,52,0,0.5,11.67,5.54,0.3,70.01
2,18.09,1,52,0,0.5,5,5.54,0.3,63.34
1,9.94,1,28.5,0,0.5,9.41,2.08,0.3,40.79
1,10.25,1,29.5,0,0.5,8.96,5.54,0.3,44.8
2,17.8,1,52,0,0.5,7,5.54,0.3,65.34
1,20.3,1,52,0,0.5,11.65,5.54,0.3,69.99
2,16.8,1,52,0,0.5,14.55,5.54,0.3,72.89
2,18.61,1,52,0,0.5,11.67,5.54,0.3,70.01
1,19.85,1,52,0,0.5,10,5.54,0.3,68.34
1,16.7,1,52,0,0.5,11.65,5.54,0.3,69.99
1,20.9,1,52,0,0.5,11.65,5.54,0.3,69.99
3,19.5,1,52,0,0.5,10,5.54,0.3,68.34
1,7.69,1,24,0,0.5,7.58,5.54,0.3,37.92
2,9,1,26,0.5,0.5,5,5.54,0.3,37.84
3,19.2,1,52,0,0.5,11.65,5.54,0.3,69.99
